,Id,Name,in2000,in2015,inBoth,Group
124,4283,Other specified help to an adult member of another household,FALSE,TRUE,FALSE,10
125,4284,Accompanying an adult as help,TRUE,FALSE,FALSE,10
126,4289,Other specified informal help to another household,TRUE,TRUE,TRUE,10
127,4290,Other specified informal help,TRUE,TRUE,TRUE,10
128,4300,Unspecified participatory activities,TRUE,TRUE,TRUE,10
129,4310,Meetings,TRUE,TRUE,TRUE,10
130,4320,Religious activities,TRUE,TRUE,TRUE,10
131,4390,Other specified participatory activities,TRUE,TRUE,TRUE,10
132,5000,Unspecified social life and entertainment,TRUE,TRUE,TRUE,10
133,5100,Unspecified social life,TRUE,TRUE,TRUE,10
134,5110,Socialising with family,TRUE,TRUE,TRUE,10
135,5120,Visiting and receiving visitors,TRUE,TRUE,TRUE,10
136,5130,Celebrations,TRUE,TRUE,TRUE,10
137,5140,Telephone conversation,TRUE,TRUE,TRUE,10
138,5190,Other specified social life,TRUE,TRUE,TRUE,10
139,5200,Unspecified entertainment and culture,TRUE,TRUE,TRUE,10
140,5210,Cinema,TRUE,TRUE,TRUE,10
141,5220,Unspecified theatre or concerts,TRUE,TRUE,TRUE,10
142,5221,Plays musicals or pantomimes,TRUE,TRUE,TRUE,10
143,5222,Opera operetta or light opera,TRUE,TRUE,TRUE,10
144,5223,Concerts or other performances of classical music,TRUE,TRUE,TRUE,10
145,5224,Live music other than classical concerts opera and musicals,TRUE,TRUE,TRUE,10
146,5225,Dance performances,TRUE,TRUE,TRUE,10
147,5229,Other specified theatre or concerts,TRUE,TRUE,TRUE,10
148,5230,Art exhibitions and museums,TRUE,TRUE,TRUE,10
149,5240,Unspecified library,TRUE,TRUE,TRUE,10
150,5241,Borrowing books records audiotapes videotapes CDs VDs etc. from a library,TRUE,TRUE,TRUE,10
151,5242,Reference to books and other library materials within a library,TRUE,TRUE,TRUE,10
152,5243,Using internet in the library,TRUE,TRUE,TRUE,10
153,5244,Using computers in the library other than internet use,TRUE,TRUE,TRUE,10
154,5245,Reading newspapers in a library,TRUE,TRUE,TRUE,10
155,5246,Listening to music in a library,TRUE,FALSE,FALSE,10
156,5249,Other specified library activities,TRUE,TRUE,TRUE,10
157,5250,Sports events,TRUE,TRUE,TRUE,10
158,5290,Other unspecified entertainment and culture,TRUE,TRUE,TRUE,10
159,5291,Visiting a historical site,TRUE,TRUE,TRUE,10
160,5292,Visiting a wildlife site,TRUE,TRUE,TRUE,10
161,5293,Visiting a botanical site,TRUE,TRUE,TRUE,10
162,5294,Visiting a leisure park,TRUE,TRUE,TRUE,10
163,5295,Visiting an urban park playground designated play area,TRUE,TRUE,TRUE,10
164,5299,Other or unspecified entertainment or culture,TRUE,TRUE,TRUE,10
165,5310,Resting - Time out,TRUE,TRUE,TRUE,10
166,6000,Unspecified sports and outdoor activities,TRUE,TRUE,TRUE,10
167,6100,Unspecified physical exercise,TRUE,TRUE,TRUE,10
168,6110,Walking and hiking,TRUE,TRUE,TRUE,10
169,6111,Taking a walk or hike that lasts at least miles or 1 hour,TRUE,TRUE,TRUE,10
170,6119,Other walk or hike,TRUE,TRUE,TRUE,10
171,6120,Jogging and running,TRUE,TRUE,TRUE,10
172,6130,Biking skiing and skating,TRUE,TRUE,TRUE,10
173,6131,Biking,TRUE,TRUE,TRUE,10
174,6132,Skiing or skating,TRUE,TRUE,TRUE,10
175,6140,Unspecified ball games,TRUE,TRUE,TRUE,10
176,6141,Indoor pairs or doubles games,TRUE,TRUE,TRUE,10
177,6142,Indoor team games,TRUE,TRUE,TRUE,10
178,6143,Outdoor pairs or doubles games,TRUE,TRUE,TRUE,10
179,6144,Outdoor team games,TRUE,TRUE,TRUE,10
180,6149,Other specified ball games,TRUE,TRUE,TRUE,10
181,6150,Gymnastics,TRUE,TRUE,TRUE,10
182,6160,Fitness,TRUE,TRUE,TRUE,10
183,6170,Unspecified water sports,TRUE,TRUE,TRUE,10
184,6171,Swimming,TRUE,TRUE,TRUE,10
185,6179,Other specified water sports,TRUE,TRUE,TRUE,10
186,6190,Other specified physical exercise,TRUE,TRUE,TRUE,10
187,6200,Unspecified productive exercise,TRUE,TRUE,TRUE,10
188,6210,Hunting and fishing,TRUE,TRUE,TRUE,10
189,6220,Picking berries mushroom and herbs,TRUE,TRUE,TRUE,10
190,6290,Other specified productive exercise,TRUE,TRUE,TRUE,10
